날짜,한국은행기준금리, 반도체수출금액지수,말일종가,최고가(종가),최저가(종가),거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균,수출물가,공업제품,수입물가,원자재,중간재,최종재,WTI종가,WTI거래량,WTI변동률
201903월,1.75,175.52,"74,200","76,100","66,600","74,433,210","3,721,661","5,258,755,749,860","262,937,787,493",-1.0,-1.0,4.7,10.3,1.8,2.9,60.14,11.96M,5.1
201904월,1.75,164.28,"79,000","81,800","76,400","70,360,052","3,198,184","5,564,774,503,790","252,944,295,627",-0.5,-0.5,5.4,9.7,2.9,4.3,63.91,13.33M,6.27
201905월,1.75,148.47,"65,300","80,700","65,300","79,337,971","3,777,999","5,673,071,628,931","270,146,268,044",0.3,0.3,4.5,4.6,2.9,7.6,53.5,16.25M,-16.29
201906월,1.75,165.49,"69,500","70,200","63,100","64,627,524","3,401,449","4,293,590,688,986","225,978,457,315",-2.7,-2.7,-0.6,-4.3,-1.1,5.7,58.47,12.46M,9.29
201907월,1.50,149.27,"76,900","79,800","67,400","68,847,930","2,993,388","5,163,314,897,049","224,491,952,046",-5.4,-5.4,-1.1,-2.6,-2.6,3.8,58.58,11.80M,0.19
201908월,1.50,159.18,"77,400","77,700","71,800","52,634,024","2,506,382","3,932,813,490,752","187,276,832,893",-4.0,-4.1,-0.2,-2.4,-1.8,6.6,55.1,14.04M,-5.94
201909월,1.50,170.23,"82,200","84,300","77,000","48,311,757","2,542,724","3,932,282,202,214","206,962,221,169",-5.0,-5.0,-2.0,-6.3,-2.5,5.6,54.07,13.08M,-1.87
201910월,1.25,161.06,"82,000","83,000","77,400","63,636,224","3,030,296","5,078,066,688,917","241,812,699,472",-7.4,-7.5,-6.0,-13.4,-5.2,4.0,54.18,11.55M,0.2
201911월,1.25,152.27,"80,900","85,500","80,900","45,635,634","2,173,125","3,793,548,298,215","180,645,157,058",-6.5,-6.5,-2.1,-4.2,-3.0,2.8,55.17,9.47M,1.83
201912월,1.25,150.82,"94,100","96,000","77,700","71,423,375","3,571,169","6,103,629,943,246","305,181,497,162",-3.2,-3.2,3.3,5.3,1.6,4.1,61.06,9.27M,10.68
202001월,1.25,149.88,"93,500","101,000","93,500","59,366,620","2,968,331","5,792,324,224,211","289,616,211,211",-2.5,-2.5,2.7,2.9,2.3,3.1,51.56,12.54M,-15.56
202002월,1.25,156.34,"87,900","105,000","87,900","70,992,138","3,549,607","6,924,167,485,340","346,208,374,267",-2.0,-2.0,-1.0,-8.9,1.3,4.9,44.76,13.33M,-13.19
202003월,0.75,182.42,"83,300","94,900","69,000","149,461,339","6,793,697","12,250,642,650,756","556,847,393,216",-3.8,-3.8,-7.9,-26.0,-3.1,5.9,20.48,16.68M,-54.24
202004월,0.75,151.54,"83,700","85,800","78,400","91,942,271","4,597,114","7,587,119,131,754","379,355,956,588",-6.5,-6.5,-14.6,-40.3,-7.3,4.9,18.84,14.56M,-8.01
202005월,0.50,170.59,"81,500","85,700","80,600","83,525,536","4,396,081","6,896,381,543,378","362,967,449,651",-8.4,-8.4,-13.0,-32.7,-7.9,2.4,35.49,5.91M,88.38
202006월,0.50,173.6,"85,100","91,000","82,000","91,590,220","4,163,192","7,928,776,009,315","360,398,909,514",-5.7,-5.7,-7.4,-20.5,-4.3,2.2,39.27,7.64M,10.65
202007월,0.50,164.17,"82,800","86,000","82,200","73,492,751","3,195,337","6,156,184,049,405","267,660,176,061",-5.3,-5.4,-8.9,-23.8,-4.9,1.9,40.27,6.79M,2.55
202008월,0.50,173.84,"75,100","81,800","71,800","88,408,078","4,420,404","6,910,911,914,489","345,545,595,724",-6.7,-6.7,-10.5,-26.3,-5.6,-0.9,42.61,6.37M,5.81
202009월,0.50,196.29,"84,000","84,500","75,200","85,475,318","4,070,253","6,910,784,517,067","329,084,977,003",-5.9,-5.9,-11.3,-29.1,-5.5,-0.7,40.22,6.75M,-5.61
202010월,0.50,175.65,"79,900","88,200","79,900","61,986,245","3,262,434","5,241,435,988,525","275,865,052,028",-6.2,-6.2,-11.2,-27.2,-6.1,-2.2,35.79,7.35M,-11.01
202011월,0.50,174.85,"97,500","100,000","79,600","74,701,046","3,557,193","6,935,098,503,370","330,242,785,875",-4.6,-4.6,-10.3,-24.4,-5.3,-3.3,45.34,7.03M,26.68
202012월,0.50,192.79,"118,500","120,500","100,500","96,632,113","4,601,529","11,098,693,851,192","528,509,231,009",-4.7,-4.7,-9.9,-20.8,-5.7,-4.7,48.52,6.21M,7.01
202101월,0.50,177.56,"122,500","138,000","122,500","127,672,304","6,383,615","16,645,892,658,918","832,294,632,946",-1.9,-1.9,-5.8,-13.8,-1.9,-3.5,52.2,7.21M,7.58
202102월,0.50,171.96,"141,500","148,500","125,000","101,827,542","5,657,086","13,584,840,566,904","754,713,364,828",0.6,0.7,-0.3,0.1,1.7,-4.0,61.5,7.60M,17.82
202103월,0.50,195.37,"132,500","147,000","132,000","105,431,089","4,792,322","14,580,173,098,648","662,735,140,848",5.9,6.0,9.0,27.8,8.0,-4.8,59.16,9.79M,-3.8
202104월,0.50,200.03,"128,000","144,000","128,000","75,564,371","3,434,744","10,319,925,063,620","469,087,502,892",10.6,10.7,15.0,51.3,11.3,-4.6,63.48,384.49K,7.3
