,수출물가,- 농림수산품,- 공업제품,수입물가,- 원자재,- 중간재,- 최종재
201101월,0.8,26.6,0.7,11.7,21.5,9.7,0.9
201102월,1.6,29.5,1.5,14.5,31.0,10.0,-0.5
201103월,5.1,20.5,5.0,17.7,33.4,13.5,1.9
201104월,3.4,10.3,3.3,17.4,34.8,11.4,1.5
201105월,-0.9,6.4,-0.9,11.7,26.1,6.9,-1.5
201106월,-4.8,8.3,-4.9,8.6,24.5,3.2,-5.0
201107월,-6.0,-0.6,-6.1,7.6,25.4,1.6,-7.4
201108월,-2.7,12.5,-2.8,8.0,23.0,2.6,-4.4
201109월,1.0,15.2,0.9,11.9,27.7,6.0,-0.6
201110월,5.3,21.8,5.2,14.5,29.2,8.3,4.0
201111월,2.0,18.2,1.9,10.7,26.9,2.7,2.0
201112월,-1.0,14.4,-1.1,6.1,18.6,-1.1,1.3
201201월,1.7,15.0,1.6,7.7,17.7,1.9,3.1
201202월,-0.7,8.0,-0.7,5.2,13.0,0.3,2.1
201203월,-3.0,2.3,-3.0,3.3,10.6,-2.1,1.9
201204월,-1.2,3.0,-1.2,1.5,3.1,-0.9,4.7
201205월,-0.3,3.7,-0.3,1.8,3.9,-1.0,5.0
201206월,-0.5,1.8,-0.5,-1.3,-2.4,-2.6,5.0
201207월,0.1,10.0,0.0,-0.9,-1.6,-2.1,4.3
201208월,-0.7,-1.2,-0.7,0.5,2.6,-2.0,2.7
201209월,-3.4,-13.9,-3.3,-2.2,-0.7,-4.3,0.0
201210월,-6.5,-17.6,-6.4,-6.4,-6.7,-7.0,-3.8
201211월,-6.6,-17.2,-6.6,-7.9,-10.6,-6.9,-3.8
201212월,-7.2,-18.3,-7.2,-9.0,-11.3,-8.1,-5.5
201301월,-8.1,-17.7,-8.1,-10.6,-12.1,-10.4,-7.0
201302월,-5.6,-16.1,-5.5,-8.6,-9.9,-8.3,-4.9
201303월,-5.9,-9.5,-5.9,-10.8,-14.3,-9.4,-5.2
201304월,-5.7,-7.2,-5.7,-9.7,-12.1,-9.3,-4.5
201305월,-5.8,-10.8,-5.8,-9.7,-10.5,-9.9,-6.4
201306월,-2.0,-12.8,-1.9,-4.3,-3.0,-5.6,-3.9
201307월,-1.6,-17.4,-1.5,-4.3,-3.7,-5.4,-2.3
201308월,-2.2,-16.4,-2.1,-5.3,-5.8,-5.5,-2.6
201309월,-4.7,-14.0,-4.7,-8.1,-8.2,-8.7,-5.5
201310월,-4.5,-8.6,-4.5,-7.3,-6.5,-8.6,-5.3
201311월,-2.5,-8.4,-2.5,-4.9,-3.5,-6.4,-3.8
201312월,-2.1,-7.9,-2.1,-3.5,-1.5,-5.2,-3.1
201401월,-1.9,-7.3,-1.9,-3.0,-2.3,-4.3,-1.1
201402월,-3.6,-3.8,-3.6,-4.8,-4.8,-6.1,-1.4
201403월,-4.3,-8.3,-4.3,-4.5,-3.5,-6.3,-1.9
201404월,-7.4,-10.9,-7.4,-6.9,-6.2,-8.4,-4.8
201405월,-8.1,-11.6,-8.1,-6.8,-5.9,-8.4,-4.8
201406월,-10.5,-10.1,-10.5,-8.8,-7.2,-10.5,-7.6
201407월,-9.4,-5.1,-9.4,-8.6,-8.8,-9.1,-6.7
201408월,-8.6,-4.0,-8.6,-9.9,-12.3,-9.4,-6.5
201409월,-6.6,-3.3,-6.6,-8.9,-12.6,-7.7,-4.3
201410월,-4.1,-5.1,-4.1,-7.6,-13.1,-5.8,-1.4
201411월,-2.2,-1.5,-2.3,-8.0,-15.9,-5.1,0.3
201412월,-4.4,0.1,-4.3,-13.0,-26.4,-8.0,0.7
201501월,-8.6,-1.0,-8.7,-19.4,-36.8,-13.2,-1.8
201502월,-8.1,-4.1,-8.1,-17.8,-33.5,-11.9,-2.2
201503월,-6.8,-2.2,-6.8,-17.1,-33.2,-10.8,-1.9
201504월,-6.0,-2.7,-6.0,-17.1,-33.9,-10.2,-1.9
201505월,-3.5,0.4,-3.5,-14.6,-31.3,-7.5,0.0
201506월,-2.2,-3.1,-2.2,-14.1,-32.0,-6.3,1.7
201507월,-2.0,0.7,-2.0,-14.0,-33.6,-6.2,3.5
201508월,-1.6,2.7,-1.6,-13.6,-35.8,-5.4,6.3
201509월,-2.1,7.3,-2.1,-13.1,-35.2,-5.5,7.1
201510월,-6.5,1.0,-6.5,-14.9,-34.7,-8.4,2.4
201511월,-8.6,-1.4,-8.6,-15.6,-35.3,-9.6,0.5
201512월,-6.2,-0.6,-6.2,-12.0,-32.1,-6.4,1.9
201601월,-1.5,6.3,-1.6,-6.3,-28.4,-0.4,5.9
201602월,-2.1,8.6,-2.1,-7.4,-30.3,-1.3,6.7
201603월,-4.2,12.3,-4.2,-7.6,-26.1,-2.9,4.3
201604월,-5.2,13.6,-5.3,-7.1,-23.9,-3.1,4.1
201605월,-4.0,16.5,-4.0,-5.1,-20.7,-1.2,5.6
201606월,-4.9,15.6,-5.0,-4.9,-18.5,-1.8,4.7
