date,종가,환율,유가종가,유가오픈,유가고가,유가저가,유가변동률,한국은행기준금리,연준기준금리,한미기준금리차이,반도체수출금액지수,SOX종가,SOX변동률,BTC종가,BTC변동률,등락.분류
2019-11-28,82800,1176.0,58.08,57.97,58.29,57.64,-0.05,1.25,1.75,0.5,149.88,1726.375,-0.19,7426.7,-1.12,1
2017-02-14,48450,1151.9,53.2,52.91,53.72,52.86,0.51,1.25,0.75,-0.5,123.05,962.63,-0.32,1008.3,1.3,-1
2013-07-12,28500,1124.9,105.95,104.58,106.33,104.36,0.99,2.5,0.25,-2.25,91.17,489.61,0.63,94.0,5.63,1
2018-02-07,71100,1094.3,61.79,63.92,64.18,61.25,-2.52,1.5,1.5,0.0,171.62,1272.5,-2.24,7594.7,-1.38,1
2012-07-23,20350,1140.7,88.14,91.61,91.64,87.91,-3.61,3.25,0.25,-3.0,74.69,361.66,-0.92,8.4,0.0,-1
2020-07-01,85300,1198.5,39.82,39.84,40.58,39.05,1.4,0.5,0.25,-0.25,164.17,1966.98,-1.48,9229.9,1.03,1
2010-11-16,23700,1129.2,82.34,84.58,84.74,82.03,-2.97,2.25,0.25,-2.0,80.1,374.07,-1.45,0.2,0.0,1
2020-12-09,120500,1084.4,45.52,45.6,46.24,44.95,-0.18,0.5,0.25,-0.25,195.37,2734.77,-2.89,18546.0,1.2,1
2015-12-14,29000,1179.7,36.31,35.4,36.7,34.53,1.94,1.5,0.25,-1.25,78.93,656.49,-0.65,442.0,1.68,-1
2014-09-23,42500,1040.7,91.56,90.7,92.09,90.58,0.04,2.5,0.25,-2.25,111.07,639.85,-0.23,436.9,8.11,-1
2011-04-25,36450,1081.8,112.28,112.34,113.48,111.08,-0.01,3.0,0.25,-2.75,80.0,443.41,0.05,1.6,-4.29,-1
2019-11-11,81300,1156.1,56.86,57.4,57.4,56.25,-0.66,1.25,1.75,0.5,149.88,1727.59,-0.53,8736.9,-3.32,-1
2014-12-15,47650,1103.9,55.91,57.07,58.73,55.02,-3.29,2.0,0.25,-1.75,102.6,665.71,-0.84,345.4,-1.14,1
2021-05-03,131500,1109.6,64.49,63.64,64.68,62.91,1.43,0.5,0.25,-0.25,,3073.38,-1.15,57169.8,1.0,1
2015-03-10,44150,1110.3,48.29,50.08,50.36,48.2,-3.42,2.0,0.25,-1.75,102.6,701.3,-1.92,291.4,0.47,-1
2013-12-24,36750,1061.0,99.22,98.62,99.3,98.53,0.31,2.5,0.25,-2.25,84.98,528.35,0.32,702.8,-1.47,-1
2016-12-19,45150,1183.4,52.12,52.15,52.52,51.51,0.42,1.25,0.75,-0.5,121.57,909.68,0.98,789.8,0.1,-1
2010-09-07,21500,1171.2,74.09,74.3,74.63,72.63,-0.68,2.25,0.25,-2.0,91.77,322.31,-1.95,0.1,0.0,-1
2014-05-30,44150,1021.6,102.71,103.51,103.56,102.4,-0.84,2.5,0.25,-2.25,97.72,599.59,0.11,612.3,8.49,1
2020-03-24,78700,1274.6,24.01,23.87,25.16,23.09,2.78,1.25,0.25,-1.0,182.42,1491.83,11.15,6744.6,4.26,2
2021-01-25,135000,1102.3,52.77,52.17,52.95,51.82,0.96,0.5,0.25,-0.25,195.37,3079.21,0.16,32252.3,0.03,2
2015-11-18,30550,1169.2,40.75,41.11,41.55,39.91,0.2,1.5,0.25,-1.25,99.06,662.14,0.96,335.9,0.6,-1
2020-12-04,115000,1098.1,46.26,45.64,46.68,45.61,1.36,0.5,0.25,-0.25,195.37,2793.03,2.83,18658.1,-3.99,1
2017-10-16,84200,1130.8,51.87,51.43,52.37,51.35,0.82,1.25,1.25,0.0,182.32,1224.99,0.47,5759.3,1.25,-1
2017-04-20,51400,1139.8,50.27,50.63,50.97,50.18,-0.34,1.25,1.0,-0.25,144.04,997.55,1.58,1238.1,1.88,1
2011-02-25,28000,1126.9,97.88,96.63,99.2,96.17,0.62,2.75,0.25,-2.5,70.04,463.69,2.61,0.9,-8.65,1
2015-06-22,43850,1104.0,59.68,59.44,60.3,58.93,0.12,1.75,0.25,-1.5,100.95,728.22,0.67,247.5,1.38,1
2015-08-19,33000,1184.7,40.8,42.41,42.68,40.4,-4.27,1.5,0.25,-1.25,104.28,618.32,-0.91,226.0,-8.4,-2
2018-10-02,71700,1110.9,75.23,75.42,75.91,74.93,-0.09,1.5,2.25,0.75,227.06,1370.87,0.03,6549.9,-0.88,-1
2012-05-17,24500,1161.9,92.56,92.77,93.88,92.09,-0.27,3.25,0.25,-3.0,80.23,371.45,-2.2,5.1,0.0,2
2020-02-25,98000,1217.7,49.9,51.37,52.02,49.69,-2.97,1.25,1.75,0.5,182.42,1746.11,-3.06,9317.2,-3.57,-1
2016-12-12,45300,1166.2,52.83,52.58,54.51,52.18,2.58,1.25,0.5,-0.75,121.57,885.46,-0.79,778.5,1.38,-1
2016-05-30,29000,1179.3,49.51,49.56,49.75,49.08,-0.14,1.5,0.5,-1.0,93.22,697.535,0.56,532.3,3.14,1
2020-06-22,84900,1212.0,40.46,39.18,40.7,39.12,1.79,0.75,0.25,-0.5,173.6,1983.36,0.84,9683.7,4.17,-1
2018-02-08,73900,1083.3,61.15,61.7,62.09,60.27,-1.04,1.5,1.5,0.0,171.62,1218.66,-4.23,8164.2,7.5,1
2014-10-23,45500,1053.7,82.09,80.42,82.37,80.05,1.95,2.25,0.25,-2.0,113.63,605.64,1.46,355.8,-6.11,-1
2016-03-29,28900,1169.6,38.28,39.32,39.48,37.91,-2.82,1.5,0.5,-1.0,100.61,674.14,1.34,415.0,-1.71,1
2020-03-04,94300,1191.4,46.78,46.94,48.41,46.65,-0.85,1.25,1.25,0.0,182.42,1789.57,4.94,8757.9,-0.04,1
2017-03-31,50500,1116.1,50.6,50.32,50.85,49.9,0.5,1.25,1.0,-0.25,143.26,1011.4,-0.04,1079.1,3.97,-1
2021-01-28,123000,1104.0,52.34,52.65,53.58,52.04,-0.96,0.5,0.25,-0.25,195.37,2935.12,2.09,33374.8,9.77,-1
2011-07-14,23700,1063.2,95.69,97.59,98.88,94.53,-2.41,3.25,0.25,-3.0,78.94,387.76,-1.55,14.0,0.0,-1
2012-07-26,20400,1150.9,89.39,89.1,90.47,88.07,0.47,3.25,0.25,-3.0,74.69,375.54,2.29,8.9,1.14,0
2017-07-14,71100,1137.5,46.54,46.08,46.74,45.8,1.0,1.25,1.25,0.0,151.45,1104.32,1.3,2234.2,-5.43,1
2018-02-09,73400,1087.8,59.2,60.43,60.77,58.07,-3.19,1.5,1.5,0.0,171.62,1255.81,3.05,8699.8,6.56,-1
2019-11-01,83100,1161.7,56.2,54.15,56.33,54.07,3.73,1.25,1.75,0.5,149.88,1689.93,2.34,9230.1,0.85,1
2018-08-13,75400,1126.3,67.2,67.78,67.95,65.71,-0.64,1.5,2.0,0.5,218.72,1356.75,0.14,6255.3,-0.91,1
2017-09-15,77200,1132.5,49.89,49.72,50.13,49.41,0.0,1.25,1.25,0.0,182.32,1146.68,1.71,3713.8,14.51,1
2016-12-26,45650,1202.9,53.19,53.33,53.34,53.14,0.32,1.25,0.75,-0.5,121.57,933.565,0.88,898.4,0.82,-1
2011-11-03,23300,1126.2,94.07,92.99,94.61,90.87,1.69,3.25,0.25,-3.0,79.13,387.15,3.0,3.2,-3.08,-1
2019-03-26,72700,1134.9,59.94,59.12,60.38,59.04,1.9,1.75,2.5,0.75,164.28,1396.75,1.01,3942.8,0.15,-1
2018-01-12,74400,1071.2,64.3,63.57,64.5,63.06,0.78,1.5,1.5,0.0,185.53,1322.1,0.59,13886.7,2.6,1
2011-06-30,25050,1078.1,95.42,95.08,95.82,93.88,0.69,3.25,0.25,-3.0,80.36,410.35,2.54,16.1,-4.45,-1
2016-04-07,26900,1155.9,37.26,37.76,38.3,36.69,-1.3,1.5,0.5,-1.0,93.22,667.46,-1.59,420.1,-0.27,-1
2015-07-22,38200,1158.4,49.19,50.71,50.71,49.04,-2.32,1.5,0.25,-1.25,97.82,646.13,-2.52,276.5,0.5,-1
2018-01-23,71300,1068.9,64.47,63.88,64.88,63.7,1.54,1.5,1.5,0.0,185.53,1392.86,0.76,10903.2,0.35,1
2015-05-22,47850,1094.4,59.72,60.66,60.8,59.35,-1.65,1.75,0.25,-1.5,100.95,720.2,0.24,240.4,2.12,1
2015-06-17,44950,1117.3,59.92,60.03,61.38,58.85,-0.08,1.75,0.25,-1.5,100.95,715.19,0.02,247.4,-0.98,1
2015-08-27,35500,1188.9,42.56,38.96,42.86,38.95,10.26,1.5,0.25,-1.25,104.28,609.76,3.73,222.7,-1.0,2
2019-12-17,92800,1172.9,60.94,60.23,61.06,60.03,1.21,1.25,1.75,0.5,149.88,1821.92,0.47,6613.3,-4.2,1
2016-12-28,45350,1205.3,54.06,53.93,54.37,53.56,0.3,1.25,0.75,-0.5,121.57,921.09,-1.93,972.2,5.01,-1
2020-05-15,81900,1227.9,29.43,27.64,29.92,27.24,6.79,0.75,0.25,-0.5,173.6,1700.89,-2.19,9318.0,-4.71,1
2011-07-20,24200,1059.7,98.14,98.11,99.02,96.64,0.66,3.25,0.25,-3.0,78.94,395.11,-0.58,13.7,-1.16,1
2019-04-08,77900,1136.4,64.4,63.33,64.48,63.13,2.09,1.75,2.5,0.75,164.28,1481.38,0.25,5245.2,1.38,-1
2017-05-23,55100,1117.1,51.47,51.04,51.79,50.57,1.46,1.25,1.0,-0.25,144.04,1067.94,-0.41,2272.6,6.97,-1
2011-04-26,34750,1081.5,112.21,112.15,112.64,111.12,-0.06,3.0,0.25,-2.75,80.0,450.48,1.59,1.8,14.74,-1
2014-06-05,46450,1024.3,102.48,102.37,102.69,101.6,-0.16,2.5,0.25,-2.25,97.72,614.3,0.52,660.2,3.33,1
2013-09-06,27100,1093.8,110.53,108.52,110.7,108.12,1.99,2.5,0.25,-2.25,102.85,475.1,-0.41,121.9,-6.37,-1
2017-04-11,48850,1141.6,53.4,53.13,53.45,52.7,0.6,1.25,1.0,-0.25,144.04,983.34,-0.83,1220.7,1.16,-1
2016-06-13,28350,1163.1,48.88,48.85,49.28,48.16,-0.39,1.5,0.5,-1.0,100.66,695.42,-0.52,700.1,5.03,-1
2015-03-27,45800,1104.2,48.87,51.01,51.38,48.21,-4.98,2.0,0.25,-1.75,102.6,694.32,2.83,247.2,-0.33,-1
2013-01-02,26600,1071.1,93.12,91.78,93.87,91.56,1.42,2.75,0.25,-2.5,76.2,399.73,4.08,13.3,0.0,1
2010-11-19,23900,1138.9,81.51,82.24,82.75,80.59,-0.42,2.25,0.25,-2.0,80.1,387.09,1.61,0.3,0.0,1
2012-02-08,26500,1121.5,98.71,98.77,100.09,98.1,0.3,3.25,0.25,-3.0,73.73,427.59,1.25,5.6,-1.58,1
2017-09-11,73800,1126.8,48.07,47.58,48.27,47.0,1.24,1.25,1.25,0.0,182.32,1115.46,2.01,4217.9,-0.66,1
2015-04-28,46950,1074.5,57.06,56.65,57.83,56.07,0.12,1.75,0.25,-1.5,98.49,696.24,0.02,225.8,-1.38,1
2018-08-03,83300,1122.6,68.49,68.99,69.24,67.87,-0.68,1.5,2.0,0.5,218.72,1381.64,0.2,7419.0,-1.55,1
